Account Name,Created Date,Cloud or On-Premise,Lead Source,Opportunity Owner,Stage,Close Date,Type,Amount,Company Country (CB),Company State (CB),Company Industry (CB)
B1 Company,11/11/2021,Cloud B,Web - Organic Traffic,T Seller,Requalify,12/31/2021,New Business,0,United States,Wisconsin,Metals & Mining
B1 Company,11/11/2021,Cloud B,Partner Referral,S Seller,Closed Lost,7/30/2021,New Business,0,United Kingdom,Cheshire East,"Hotels, Restaurants & Leisure"
B1 Company,11/11/2021,Cloud B,Partner Referral,S Seller,Closed Won,4/8/2021,Upsell,0,United States,Georgia,Internet Software & Services
D1 Company,11/11/2021,Cloud B,Partner Referral,T Seller,Closed Lost,7/16/2021,Upsell,126000,United States,Colorado,Health Care Providers & Services
D1 Company,11/11/2021,Cloud B,,F Seller,Closed Lost,9/30/2020,Partnership,0,,,
D1 Company,11/11/2021,Cloud B,Partner Referral,N Seller,4 - Proposal Submitted,4/20/2022,Renewal (Flat or Partial Churn),49950,,,
D1 Company,11/11/2021,Cloud B,Partner Referral,T Seller,Closed Won,11/15/2019,New Business,40000,Colombia,Bogotá,Diversified Financial Services
D1 Company,11/11/2021,Cloud B,Partner Referral,C Seller,1 - Discovery,12/31/2021,New Business,0,United States,California,"Textiles, Apparel & Luxury Goods"
D1 Company,11/11/2021,Cloud B,Partner Referral,F Seller,Closed Lost,9/30/2020,Partnership,72000,United States,Massachusetts,Food Products
X1 Company,11/11/2021,Cloud B,,S Seller,Closed Lost,8/31/2020,New Business,100000,United States,Michigan,Professional Services
T1 Company,11/12/2021,Cloud B,Event,T Seller,Closed Lost,2/18/2021,New Business,0,United States,Virginia,Media
F1 Company,11/11/2021,Cloud B,Partner Referral,A Seller,Closed Won,3/26/2021,Renewal (Flat or Partial Churn),78000,Australia,Victoria,Media
F1 Company,11/12/2021,Cloud B,Partner Referral,D Seller,Closed Lost,9/2/2020,New Business,275000,,,
S1 Company,11/12/2021,Cloud B,,D Seller,Closed Lost,9/15/2020,New Business,100000,United States,Texas,Internet Software & Services
e1 Company,11/11/2021,Cloud B,,T Seller,Closed Lost,3/3/2021,New Business,0,United States,Florida,Internet Software & Services
M1 Company,1/25/2022,Cloud B,,L Seller,5 - Contractual Process,10/6/2022,Renewal (Flat or Partial Churn),109842,United States,New York,Retailing
U1 Company,11/12/2021,Cloud B,Web - Organic Traffic,T Seller,Closed Lost,4/11/2021,New Business,0,Belgium,Région Wallonne,Internet Software & Services
G1 Company,11/11/2021,Cloud B,Partner Referral,N Seller,4 - Proposal Submitted,6/30/2022,Renewal (Flat or Partial Churn),87850,,,
